Hero,Image
Phantom Assassin,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/phantom_assassin_full.png>
Rubick,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/rubick_full.png>
Luna,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/luna_full.png>
Io,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/wisp_full.png>
Undying,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/undying_full.png>
Disruptor,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/disruptor_full.png>
Templar Assassin,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/templar_assassin_full.png>
Naga Siren,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/naga_siren_full.png>
Nyx Assassin,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/nyx_assassin_full.png>
Keeper of the Light,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/keeper_of_the_light_full.png>
Visage,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/visage_full.png>
Meepo,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/meepo_full.png>
Magnus,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/magnataur_full.png>
Centaur Warrunner,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/centaur_full.png>
Slark,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/slark_full.png>
Timbersaw,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/shredder_full.png>
Medusa,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/medusa_full.png>
Troll Warlord,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/troll_warlord_full.png>
Tusk,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/tusk_full.png>
Bristleback,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/bristleback_full.png>
Skywrath Mage,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/skywrath_mage_full.png>
Elder Titan,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/elder_titan_full.png>
Abaddon,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/abaddon_full.png>
Ember Spirit,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/ember_spirit_full.png>
Earth Spirit,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/earth_spirit_full.png>
Legion Commander,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/legion_commander_full.png>
Phoenix,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/phoenix_full.png>
Terrorblade,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/terrorblade_full.png>
Techies,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/techies_full.png>
Oracle,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/oracle_full.png>
Winter Wyvern,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/winter_wyvern_full.png>
Arc Warden,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/arc_warden_full.png>
Underlord,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/abyssal_underlord_full.png>
Monkey King,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/monkey_king_full.png>
